,,Minute Level SiteSage Data, 2017-11-27 17:57:00,Customer: ,Historic Green Village,Location: Bakery (F1),,,
  ,,,,,,,,,
Column name is Energy Monitor Channel Number-Circuit Name,,,,,,,,,
Channel Columns contain average power usage(production) in watts for minute,,,,,,,,,
Voltage is average voltage for minute,,,,,,,,,
,,,,,,,,,
 Date/Time,CH1-Bldg F1,CH3-PV Array F1,CH4-Plug: Front FridgeT,CH5-A/C: WSHP1,CH6-Range,CH8-Plug: Microwave,CH9-Wired: Dishwasher,CH10-Plug: Mixer,CH11-Plug: Fridge in Back
2017-11-06 00:00:00,2547,0,19,0,0,0,0,0,224
2017-11-06 00:01:00,3011,0,19,0,0,0,0,0,709
2017-11-06 00:02:00,2964,0,71,0,0,0,0,0,859
2017-11-06 00:03:00,3541,0,19,0,0,0,0,0,854
2017-11-06 00:04:00,3245,0,20,2310,12,0,0,0,665
2017-11-06 00:05:00,8425,0,21,4924,23,0,0,0,22
2017-11-06 00:06:00,8404,0,21,4966,24,0,0,0,23
2017-11-06 00:07:00,8554,0,22,5073,24,0,0,0,52
2017-11-06 00:08:00,9010,0,21,5089,24,0,0,0,115
2017-11-06 00:09:00,6581,0,21,2772,12,0,0,0,348
2017-11-06 00:10:00,4733,0,19,172,0,0,0,0,852
2017-11-06 00:11:00,4563,0,19,0,0,0,0,0,846
2017-11-06 00:12:00,3834,0,20,0,0,0,0,0,246
2017-11-06 00:13:00,3606,0,19,0,0,0,0,0,24
2017-11-06 00:14:00,4115,0,19,0,0,0,0,0,24
2017-11-06 00:15:00,4106,0,19,0,0,0,0,0,145
2017-11-06 00:16:00,4046,0,19,0,0,0,0,0,78
2017-11-06 00:17:00,4780,0,19,0,0,0,0,0,864
2017-11-06 00:18:00,4107,0,19,0,0,0,0,0,858
2017-11-06 00:19:00,3767,0,19,0,0,0,0,0,840
2017-11-06 00:20:00,2981,0,19,0,0,0,0,0,31
2017-11-06 00:21:00,2968,0,19,0,0,0,0,0,24
2017-11-06 00:22:00,2345,0,19,0,0,0,0,0,27
2017-11-06 00:23:00,1613,0,20,27,4,0,0,0,145
2017-11-06 00:24:00,1617,0,19,26,4,0,0,0,80
2017-11-06 00:25:00,2542,0,19,0,0,0,0,0,852
2017-11-06 00:26:00,4945,0,20,2751,13,3,0,0,867
2017-11-06 00:27:00,7304,0,21,4907,24,4,0,0,845
2017-11-06 00:28:00,8010,0,22,5043,24,3,0,0,374
2017-11-06 00:29:00,2345,0,22,5107,24,4,0,0,24
2017-11-06 00:30:00,7592,0,23,5085,24,4,0,0,24
2017-11-06 00:31:00,2540,0,22,553,0,0,0,0,94
2017-11-06 00:32:00,3252,0,22,53,0,0,0,0,74
